Year,Month,Average (PPM)
1983,July,1625.98
1983,August,1628.04
1983,September,1638.43
1983,October,1644.82
1983,November,1642.58
1983,December,1639.54
1984,January,1638.8
1984,February,1638.84
1984,March,1640.87
1984,April,1643.98
1984,May,1643.13
1984,June,1639.74
1984,July,1638
1984,August,1641.66
1984,September,1650.61
1984,October,1654.62
1984,November,1653.78
1984,December,1656.21
1985,January,1655.62
1985,February,1652.23
1985,March,1654.6
1985,April,1658.21
1985,May,1655.86
1985,June,1650.05
1985,July,1646.82
1985,August,1652.22
1985,September,1662.49
1985,October,1667.52
1985,November,1666.79
1985,December,1666.05
1986,January,1666.3
1986,February,1666.91
1986,March,1669.26
1986,April,1670.82
1986,May,1668.43
1986,June,1664.77
1986,July,1662.34
1986,August,1664.36
1986,September,1672.58
1986,October,1678.7
1986,November,1678.97
1986,December,1679.11
1987,January,1679.4
1987,February,1679.02
1987,March,1680.06
1987,April,1681.38
1987,May,1681.83
1987,June,1679.99
1987,July,1675.98
1987,August,1677.14
1987,September,1685.59
1987,October,1691.59
1987,November,1691.15
1987,December,1690.49
1988,January,1692.08
1988,February,1692.68
1988,March,1691.4
1988,April,1690.12
1988,May,1689.07
1988,June,1687.06
1988,July,1685.8
1988,August,1689.11
1988,September,1695.88
1988,October,1701.09
1988,November,1702.88
1988,December,1702
1989,January,1700.58
1989,February,1701.06
1989,March,1702.46
1989,April,1703.6
1989,May,1703.36
1989,June,1700.2
1989,July,1698.21
1989,August,1701.97
1989,September,1707.18
1989,October,1710.54
1989,November,1713.1
1989,December,1713.21
1990,January,1712.13
1990,February,1713.5
1990,March,1714.38
1990,April,1712.53
1990,May,1710.55
1990,June,1708.32
1990,July,1706.41
1990,August,1710.09
1990,September,1717.57
1990,October,1722.08
1990,November,1723.5
1990,December,1723.3
1991,January,1721.55
1991,February,1721.17
1991,March,1722.09
1991,April,1722.52
1991,May,1722.19
1991,June,1718.98
1991,July,1716.06
1991,August,1719.22
1991,September,1726.2
1991,October,1732.8
1991,November,1737.46
1991,December,1739.61
1992,January,1738.97
1992,February,1737.39
1992,March,1736.93
1992,April,1736.65
1992,May,1734.93
1992,June,1731.55
1992,July,1728.81
1992,August,1730.29
